sheet 1,sheet 2
-0.03398,1.06095
-0.02985,1.06456
-0.02576,1.06813
-0.0217,1.07168
-0.01786,1.07551
-0.01406,1.07933
-0.01031,1.08312
-0.00671,1.08707
-0.00322,1.09109
0.00024,1.09508
0.00362,1.09909
0.0068,1.10329
0.00995,1.10744
0.01307,1.11156
0.01602,1.11581
0.01887,1.1201
0.02169,1.12435
0.02448,1.12856
0.02703,1.13296
0.02956,1.13732
0.03206,1.14163
0.03449,1.14595
0.03673,1.15038
0.03894,1.15478
0.04114,1.15913
0.04326,1.16349
0.04519,1.16794
0.04711,1.17235
0.04901,1.17672
0.05087,1.18108
0.05252,1.18553
0.05416,1.18995
0.05578,1.19432
0.05739,1.19866
0.0588,1.20309
0.06017,1.20749
0.06153,1.21186
0.06288,1.2162
0.06412,1.22056
0.06523,1.22495
0.06634,1.2293
0.06744,1.23363
0.06854,1.23793
0.06943,1.24229
0.0703,1.24662
0.07117,1.25093
0.07203,1.25522
0.07284,1.2595
0.07348,1.26382
0.07412,1.26811
0.07475,1.27238
0.07538,1.27663
0.07593,1.28089
0.07634,1.28516
0.07676,1.28942
0.07717,1.29366
0.07759,1.29789
0.0779,1.30212
0.0781,1.30636
0.0783,1.31059
0.07851,1.3148
0.07871,1.31902
0.0788,1.32323
0.0788,1.32745
0.07879,1.33165
0.2728,1.33586
0.27222,1.34344
0.27115,1.35099
0.26957,1.35849
0.26738,1.3659
0.26485,1.37322
0.26162,1.3804
0.25818,1.38747
0.25403,1.39435
0.24978,1.40111
0.24484,1.40763
0.23986,1.41401
0.23429,1.42013
0.22869,1.4261
0.22266,1.43181
0.21654,1.43733
0.2102,1.44264
0.20367,1.44771
0.19718,1.45262
0.19033,1.45723
0.18365,1.46173
0.17674,1.46596
0.16984,1.47
0.16311,1.47393
0.15606,1.47755
0.14922,1.48106
0.14246,1.48444
0.13554,1.48755
0.12881,1.49058
0.12222,1.4935
0.11546,1.49615
0.10889,1.49873
0.1025,1.50124
0.09603,1.50354
0.08966,1.50572
0.08345,1.50784
0.07739,1.50991
0.07122,1.51173
0.06521,1.51351
0.05934,1.51524
0.05362,1.51693
0.04783,1.51841
0.04216,1.51984
0.03663,1.52124
0.03121,1.52261
0.02585,1.52388
0.02049,1.52501
0.01526,1.52613
0.01013,1.52722
0.00511,1.52829
0.00013,1.52928
-0.00484,1.53015
-0.00971,1.531
-0.01449,1.53184
-0.01919,1.53266
-0.0238,1.53347
-0.02843,1.53414
-0.03299,1.53478
-0.03748,1.5354
-0.0419,1.53602
-0.04626,1.53663
-0.05055,1.53722
-0.05484,1.53773
-0.05909,1.53817
-0.06328,1.53861
-0.06742,1.53904
-0.07152,1.53947
-0.07556,1.5399
-0.07956,1.54032
-0.08357,1.54061
-0.08754,1.54089
-0.09147,1.54117
-0.09537,1.54145
-0.09923,1.54173
-0.10306,1.542
-0.10686,1.54227
-0.11066,1.54246
-0.11444,1.5426
-0.1182,1.54275
-0.12193,1.54289
-0.12564,1.54303
-0.12933,1.54317
-0.13301,1.54332
-0.13668,1.54345
-0.14035,1.54347
-0.144,1.54349
-0.14765,1.54351
-0.15129,1.54354
-0.15492,1.54356
-0.15854,1.54358
-0.16217,1.5436
-0.1658,1.5436
-0.16942,1.5435
-0.17305,1.54341
-0.17668,1.54331
-0.18031,1.54322
-0.18395,1.54312
-0.18761,1.54303
-0.19127,1.54293
-0.19494,1.54279
-0.19862,1.54257
-0.20231,1.54235
-0.20602,1.54214
-0.20974,1.54192
-0.21349,1.5417
-0.21726,1.54148
-0.22107,1.54125
-0.22487,1.54093
-0.22869,1.54058
-0.23254,1.54023
-0.23642,1.53987
-0.24035,1.53951
-0.24431,1.53915
-0.24831,1.53879
-0.25232,1.53834
-0.25635,1.53783
-0.26043,1.53732
-0.26456,1.53681
-0.26874,1.53628
-0.27297,1.53576
-0.27727,1.53522
-0.28155,1.53455
